,location,trap_type,date_start,date_stop,count,days_off,year,month,doy,days_out
26,Greenwood,CEW BLT,19/5/1998,20/5/1998,0.5,2,1998,5,139,1
27,Greenwood,CEW Pheromone,19/5/1998,20/5/1998,0,2,1998,5,139,1
28,Laurel,CEW BLT,19/5/1998,20/5/1998,2,2,1998,5,139,1
29,Laurel,CEW Pheromone,19/5/1998,20/5/1998,0,2,1998,5,139,1
30,Milford,CEW BLT,19/5/1998,20/5/1998,0.5,2,1998,5,139,1
31,Milford,CEW Pheromone,19/5/1998,20/5/1998,0,2,1998,5,139,1
32,Seaford,CEW BLT,19/5/1998,20/5/1998,0.5,2,1998,5,139,1
33,Seaford,CEW Pheromone,19/5/1998,20/5/1998,0,2,1998,5,139,1
34,Bridgeville,CEW BLT,21/5/1998,22/5/1998,1,2,1998,5,141,1
35,Bridgeville,CEW Pheromone,21/5/1998,22/5/1998,0,2,1998,5,141,1
36,Georgetown,CEW BLT,21/5/1998,22/5/1998,1,2,1998,5,141,1
37,Greenwood,CEW BLT,21/5/1998,22/5/1998,0.5,2,1998,5,141,1
38,Greenwood,CEW Pheromone,21/5/1998,22/5/1998,0,2,1998,5,141,1
39,Laurel,CEW BLT,21/5/1998,22/5/1998,3,2,1998,5,141,1
40,Laurel,CEW Pheromone,21/5/1998,22/5/1998,0,2,1998,5,141,1
41,Milford,CEW BLT,21/5/1998,22/5/1998,0.5,2,1998,5,141,1
42,Milford,CEW Pheromone,21/5/1998,22/5/1998,0,2,1998,5,141,1
43,Seaford,CEW BLT,21/5/1998,22/5/1998,3,2,1998,5,141,1
44,Seaford,CEW Pheromone,21/5/1998,22/5/1998,0.5,2,1998,5,141,1
45,Wyoming,CEW BLT,21/5/1998,22/5/1998,0.5,2,1998,5,141,1
46,Bridgeville,CEW BLT,23/5/1998,25/5/1998,0.66,3,1998,5,143,2
47,Bridgeville,CEW Pheromone,23/5/1998,25/5/1998,8.7,3,1998,5,143,2
48,Georgetown,CEW BLT,23/5/1998,25/5/1998,0.33,3,1998,5,143,2
49,Greenwood,CEW BLT,23/5/1998,25/5/1998,0,3,1998,5,143,2
50,Greenwood,CEW Pheromone,23/5/1998,25/5/1998,0,3,1998,5,143,2
51,Laurel,CEW BLT,23/5/1998,25/5/1998,0.66,3,1998,5,143,2
52,Laurel,CEW Pheromone,23/5/1998,25/5/1998,2.66,3,1998,5,143,2
53,Milford,CEW BLT,23/5/1998,25/5/1998,0,3,1998,5,143,2
54,Milford,CEW Pheromone,23/5/1998,25/5/1998,0,3,1998,5,143,2
55,Seaford,CEW BLT,23/5/1998,25/5/1998,0.33,3,1998,5,143,2
56,Seaford,CEW Pheromone,23/5/1998,25/5/1998,0,3,1998,5,143,2
57,Wyoming,CEW BLT,23/5/1998,25/5/1998,0.33,3,1998,5,143,2
58,Bridgeville,CEW BLT,26/5/1998,27/5/1998,2,2,1998,5,146,1
59,Bridgeville,CEW Pheromone,26/5/1998,27/5/1998,13,2,1998,5,146,1
60,Georgetown,CEW BLT,26/5/1998,27/5/1998,0.5,2,1998,5,146,1
61,Greenwood,CEW BLT,26/5/1998,27/5/1998,1,2,1998,5,146,1
62,Greenwood,CEW Pheromone,26/5/1998,27/5/1998,0,2,1998,5,146,1
63,Laurel,CEW BLT,26/5/1998,27/5/1998,4,2,1998,5,146,1
64,Laurel,CEW Pheromone,26/5/1998,27/5/1998,19,2,1998,5,146,1
65,Milford,CEW BLT,26/5/1998,27/5/1998,0.5,2,1998,5,146,1
66,Milford,CEW Pheromone,26/5/1998,27/5/1998,0,2,1998,5,146,1
67,Seaford,CEW BLT,26/5/1998,27/5/1998,0.5,2,1998,5,146,1
68,Seaford,CEW Pheromone,26/5/1998,27/5/1998,7,2,1998,5,146,1
69,Wyoming,CEW BLT,26/5/1998,27/5/1998,0,2,1998,5,146,1
70,Bridgeville,CEW BLT,28/5/1998,29/5/1998,1,2,1998,5,148,1
71,Bridgeville,CEW Pheromone,28/5/1998,29/5/1998,14,2,1998,5,148,1
72,Georgetown,CEW BLT,28/5/1998,29/5/1998,1,2,1998,5,148,1
73,Greenwood,CEW BLT,28/5/1998,29/5/1998,1,2,1998,5,148,1
74,Greenwood,CEW Pheromone,28/5/1998,29/5/1998,0,2,1998,5,148,1
75,Laurel,CEW BLT,28/5/1998,29/5/1998,3,2,1998,5,148,1
76,Laurel,CEW Pheromone,28/5/1998,29/5/1998,19,2,1998,5,148,1
77,Milford,CEW BLT,28/5/1998,29/5/1998,3,2,1998,5,148,1
78,Milford,CEW Pheromone,28/5/1998,29/5/1998,0,2,1998,5,148,1
79,Seaford,CEW BLT,28/5/1998,29/5/1998,4,2,1998,5,148,1
80,Seaford,CEW Pheromone,28/5/1998,29/5/1998,5,2,1998,5,148,1
81,Wyoming,CEW BLT,28/5/1998,29/5/1998,1,2,1998,5,148,1
82,Bridgeville,CEW BLT,30/5/1998,1/6/1998,1.33,3,1998,5,150,2
83,Bridgeville,CEW Pheromone,30/5/1998,1/6/1998,14,3,1998,5,150,2
84,Georgetown,CEW BLT,30/5/1998,1/6/1998,1.33,3,1998,5,150,2
85,Greenwood,CEW BLT,30/5/1998,1/6/1998,1.33,3,1998,5,150,2
86,Greenwood,CEW Pheromone,30/5/1998,1/6/1998,0,3,1998,5,150,2
87,Laurel,CEW BLT,30/5/1998,1/6/1998,1.33,3,1998,5,150,2
88,Laurel,CEW Pheromone,30/5/1998,1/6/1998,15.33,3,1998,5,150,2
89,Milford,CEW BLT,30/5/1998,1/6/1998,0,3,1998,5,150,2
90,Milford,CEW Pheromone,30/5/1998,1/6/1998,0,3,1998,5,150,2
91,Seaford,CEW BLT,30/5/1998,1/6/1998,1.66,3,1998,5,150,2
92,Seaford,CEW Pheromone,30/5/1998,1/6/1998,10.66,3,1998,5,150,2
93,Bridgeville,CEW BLT,2/6/1998,3/6/1998,0,2,1998,6,153,1
94,Bridgeville,CEW Pheromone,2/6/1998,3/6/1998,13,2,1998,6,153,1
95,Georgetown,CEW BLT,2/6/1998,3/6/1998,0,2,1998,6,153,1
96,Greenwood,CEW BLT,2/6/1998,3/6/1998,0.5,2,1998,6,153,1
97,Greenwood,CEW Pheromone,2/6/1998,3/6/1998,0,2,1998,6,153,1
98,Laurel,CEW BLT,2/6/1998,3/6/1998,0.5,2,1998,6,153,1
99,Laurel,CEW Pheromone,2/6/1998,3/6/1998,1,2,1998,6,153,1
100,Milford,CEW BLT,2/6/1998,3/6/1998,3,2,1998,6,153,1
101,Milford,CEW Pheromone,2/6/1998,3/6/1998,0,2,1998,6,153,1
102,Seaford,CEW BLT,2/6/1998,3/6/1998,0.5,2,1998,6,153,1
103,Seaford,CEW Pheromone,2/6/1998,3/6/1998,9,2,1998,6,153,1
104,Wyoming,CEW BLT,2/6/1998,3/6/1998,0.5,2,1998,6,153,1
105,Bridgeville,CEW BLT,4/6/1998,5/6/1998,1,2,1998,6,155,1
106,Bridgeville,CEW Pheromone,4/6/1998,5/6/1998,20,2,1998,6,155,1
107,Georgetown,CEW BLT,4/6/1998,5/6/1998,1,2,1998,6,155,1
108,Greenwood,CEW BLT,4/6/1998,5/6/1998,0,2,1998,6,155,1
109,Greenwood,CEW Pheromone,4/6/1998,5/6/1998,0,2,1998,6,155,1
110,Laurel,CEW BLT,4/6/1998,5/6/1998,2,2,1998,6,155,1
111,Laurel,CEW Pheromone,4/6/1998,5/6/1998,1,2,1998,6,155,1
112,Milford,CEW BLT,4/6/1998,5/6/1998,1,2,1998,6,155,1
113,Milford,CEW Pheromone,4/6/1998,5/6/1998,2,2,1998,6,155,1
114,Seaford,CEW BLT,4/6/1998,5/6/1998,1,2,1998,6,155,1
115,Seaford,CEW Pheromone,4/6/1998,5/6/1998,17,2,1998,6,155,1
116,Wyoming,CEW BLT,4/6/1998,5/6/1998,1,2,1998,6,155,1
117,Bridgeville,CEW BLT,6/6/1998,8/6/1998,0,3,1998,6,157,2
118,Bridgeville,CEW Pheromone,6/6/1998,8/6/1998,10.7,3,1998,6,157,2
119,Georgetown,CEW BLT,6/6/1998,8/6/1998,0.33,3,1998,6,157,2
120,Greenwood,CEW BLT,6/6/1998,8/6/1998,0.33,3,1998,6,157,2
121,Greenwood,CEW Pheromone,6/6/1998,8/6/1998,0,3,1998,6,157,2
122,Laurel,CEW BLT,6/6/1998,8/6/1998,0.66,3,1998,6,157,2
123,Laurel,CEW Pheromone,6/6/1998,8/6/1998,1,3,1998,6,157,2
124,Milford,CEW BLT,6/6/1998,8/6/1998,0.66,3,1998,6,157,2
125,Milford,CEW Pheromone,6/6/1998,8/6/1998,0.66,3,1998,6,157,2
126,Seaford,CEW BLT,6/6/1998,8/6/1998,0,3,1998,6,157,2
127,Seaford,CEW Pheromone,6/6/1998,8/6/1998,4,3,1998,6,157,2
128,Wyoming,CEW BLT,6/6/1998,8/6/1998,0.66,3,1998,6,157,2
129,Bridgeville,CEW BLT,9/6/1998,10/6/1998,0.5,2,1998,6,160,1
130,Bridgeville,CEW Pheromone,9/6/1998,10/6/1998,6,2,1998,6,160,1
131,Georgetown,CEW BLT,9/6/1998,10/6/1998,0.5,2,1998,6,160,1
132,Greenwood,CEW BLT,9/6/1998,10/6/1998,0,2,1998,6,160,1
133,Greenwood,CEW Pheromone,9/6/1998,10/6/1998,0,2,1998,6,160,1
134,Laurel,CEW BLT,9/6/1998,10/6/1998,0.5,2,1998,6,160,1
135,Laurel,CEW Pheromone,9/6/1998,10/6/1998,0,2,1998,6,160,1
136,Milford,CEW BLT,9/6/1998,10/6/1998,0.5,2,1998,6,160,1
137,Milford,CEW Pheromone,9/6/1998,10/6/1998,5.5,2,1998,6,160,1
138,Seaford,CEW BLT,9/6/1998,10/6/1998,0.5,2,1998,6,160,1
139,Seaford,CEW Pheromone,9/6/1998,10/6/1998,0,2,1998,6,160,1
140,Wyoming,CEW BLT,9/6/1998,10/6/1998,1,2,1998,6,160,1
141,Bridgeville,CEW BLT,11/6/1998,12/6/1998,1,2,1998,6,162,1
142,Bridgeville,CEW Pheromone,11/6/1998,12/6/1998,16,2,1998,6,162,1
143,Georgetown,CEW BLT,11/6/1998,12/6/1998,1.5,2,1998,6,162,1
144,Greenwood,CEW BLT,11/6/1998,12/6/1998,0.5,2,1998,6,162,1
145,Greenwood,CEW Pheromone,11/6/1998,12/6/1998,0,2,1998,6,162,1
146,Laurel,CEW BLT,11/6/1998,12/6/1998,5,2,1998,6,162,1
147,Laurel,CEW Pheromone,11/6/1998,12/6/1998,0,2,1998,6,162,1
148,Milford,CEW BLT,11/6/1998,12/6/1998,4,2,1998,6,162,1
149,Milford,CEW Pheromone,11/6/1998,12/6/1998,10.5,2,1998,6,162,1
150,Seaford,CEW BLT,11/6/1998,12/6/1998,2,2,1998,6,162,1
151,Seaford,CEW Pheromone,11/6/1998,12/6/1998,12,2,1998,6,162,1
152,Wyoming,CEW BLT,11/6/1998,12/6/1998,1.5,2,1998,6,162,1
153,Bridgeville,CEW BLT,13/6/1998,15/6/1998,1,3,1998,6,164,2
154,Bridgeville,CEW Pheromone,13/6/1998,15/6/1998,20.7,3,1998,6,164,2
155,Georgetown,CEW BLT,13/6/1998,15/6/1998,0.33,3,1998,6,164,2
156,Greenwood,CEW BLT,13/6/1998,15/6/1998,1,3,1998,6,164,2
157,Greenwood,CEW Pheromone,13/6/1998,15/6/1998,0,3,1998,6,164,2
158,Laurel,CEW BLT,13/6/1998,15/6/1998,0.66,3,1998,6,164,2
159,Laurel,CEW Pheromone,13/6/1998,15/6/1998,22.66,3,1998,6,164,2
160,Milford,CEW BLT,13/6/1998,15/6/1998,1.33,3,1998,6,164,2
161,Milford,CEW Pheromone,13/6/1998,15/6/1998,10.66,3,1998,6,164,2
162,Seaford,CEW BLT,13/6/1998,15/6/1998,0.66,3,1998,6,164,2
163,Seaford,CEW Pheromone,13/6/1998,15/6/1998,6,3,1998,6,164,2
164,Wyoming,CEW BLT,13/6/1998,15/6/1998,0.33,3,1998,6,164,2
165,Bridgeville,CEW BLT,16/6/1998,17/6/1998,4,2,1998,6,167,1
166,Bridgeville,CEW Pheromone,16/6/1998,17/6/1998,34,2,1998,6,167,1
167,Georgetown,CEW BLT,16/6/1998,17/6/1998,0.5,2,1998,6,167,1
168,Greenwood,CEW BLT,16/6/1998,17/6/1998,1,2,1998,6,167,1
169,Greenwood,CEW Pheromone,16/6/1998,17/6/1998,0,2,1998,6,167,1
170,Laurel,CEW BLT,16/6/1998,17/6/1998,2,2,1998,6,167,1
171,Laurel,CEW Pheromone,16/6/1998,17/6/1998,11,2,1998,6,167,1
172,Milford,CEW BLT,16/6/1998,17/6/1998,0.5,2,1998,6,167,1
173,Milford,CEW Pheromone,16/6/1998,17/6/1998,4.5,2,1998,6,167,1
174,Seaford,CEW BLT,16/6/1998,17/6/1998,2,2,1998,6,167,1
175,Seaford,CEW Pheromone,16/6/1998,17/6/1998,14,2,1998,6,167,1
176,Wyoming,CEW BLT,16/6/1998,17/6/1998,0.5,2,1998,6,167,1
177,Bridgeville,CEW BLT,18/6/1998,19/6/1998,2,2,1998,6,169,1
178,Bridgeville,CEW Pheromone,18/6/1998,19/6/1998,19,2,1998,6,169,1
179,Georgetown,CEW BLT,18/6/1998,19/6/1998,1,2,1998,6,169,1
180,Greenwood,CEW BLT,18/6/1998,19/6/1998,2,2,1998,6,169,1
181,Greenwood,CEW Pheromone,18/6/1998,19/6/1998,0,2,1998,6,169,1
182,Laurel,CEW BLT,18/6/1998,19/6/1998,2,2,1998,6,169,1
183,Laurel,CEW Pheromone,18/6/1998,19/6/1998,9,2,1998,6,169,1
184,Milford,CEW BLT,18/6/1998,19/6/1998,1,2,1998,6,169,1
185,Milford,CEW Pheromone,18/6/1998,19/6/1998,3.5,2,1998,6,169,1
186,Seaford,CEW BLT,18/6/1998,19/6/1998,2,2,1998,6,169,1
187,Seaford,CEW Pheromone,18/6/1998,19/6/1998,11,2,1998,6,169,1
188,Wyoming,CEW BLT,18/6/1998,19/6/1998,2.5,2,1998,6,169,1
189,Bridgeville,CEW BLT,20/6/1998,22/6/1998,3,3,1998,6,171,2
190,Bridgeville,CEW Pheromone,20/6/1998,22/6/1998,21,3,1998,6,171,2
191,Georgetown,CEW BLT,20/6/1998,22/6/1998,1.33,3,1998,6,171,2
192,Greenwood,CEW BLT,20/6/1998,22/6/1998,2,3,1998,6,171,2
193,Greenwood,CEW Pheromone,20/6/1998,22/6/1998,0,3,1998,6,171,2
194,Laurel,CEW BLT,20/6/1998,22/6/1998,0,3,1998,6,171,2
195,Laurel,CEW Pheromone,20/6/1998,22/6/1998,6,3,1998,6,171,2
196,Milford,CEW BLT,20/6/1998,22/6/1998,1.33,3,1998,6,171,2
197,Milford,CEW Pheromone,20/6/1998,22/6/1998,1.66,3,1998,6,171,2
198,Seaford,CEW BLT,20/6/1998,22/6/1998,2,3,1998,6,171,2
199,Seaford,CEW Pheromone,20/6/1998,22/6/1998,3,3,1998,6,171,2
200,Wyoming,CEW BLT,20/6/1998,22/6/1998,1,3,1998,6,171,2
201,Bridgeville,CEW BLT,23/6/1998,24/6/1998,2,2,1998,6,174,1
202,Bridgeville,CEW Pheromone,23/6/1998,24/6/1998,21,2,1998,6,174,1
203,Georgetown,CEW BLT,23/6/1998,24/6/1998,1,2,1998,6,174,1
204,Greenwood,CEW BLT,23/6/1998,24/6/1998,1,2,1998,6,174,1
205,Greenwood,CEW Pheromone,23/6/1998,24/6/1998,0,2,1998,6,174,1
206,Laurel,CEW BLT,23/6/1998,24/6/1998,0,2,1998,6,174,1
207,Laurel,CEW Pheromone,23/6/1998,24/6/1998,2.5,2,1998,6,174,1
208,Milford,CEW BLT,23/6/1998,24/6/1998,1.33,2,1998,6,174,1
209,Milford,CEW Pheromone,23/6/1998,24/6/1998,1.66,2,1998,6,174,1
210,Seaford,CEW BLT,23/6/1998,24/6/1998,1,2,1998,6,174,1
211,Seaford,CEW Pheromone,23/6/1998,24/6/1998,3,2,1998,6,174,1
212,Wyoming,CEW BLT,23/6/1998,24/6/1998,0.5,2,1998,6,174,1
213,Bridgeville,CEW BLT,25/6/1998,26/6/1998,3,2,1998,6,176,1
214,Bridgeville,CEW Pheromone,25/6/1998,26/6/1998,13,2,1998,6,176,1
215,Georgetown,CEW BLT,25/6/1998,26/6/1998,1.5,2,1998,6,176,1
216,Greenwood,CEW BLT,25/6/1998,26/6/1998,1,2,1998,6,176,1
217,Greenwood,CEW Pheromone,25/6/1998,26/6/1998,0,2,1998,6,176,1
218,Laurel,CEW BLT,25/6/1998,26/6/1998,0,2,1998,6,176,1
219,Laurel,CEW Pheromone,25/6/1998,26/6/1998,3,2,1998,6,176,1
220,Milford,CEW BLT,25/6/1998,26/6/1998,2,2,1998,6,176,1
221,Milford,CEW Pheromone,25/6/1998,26/6/1998,4.5,2,1998,6,176,1
222,Seaford,CEW BLT,25/6/1998,26/6/1998,1,2,1998,6,176,1
223,Seaford,CEW Pheromone,25/6/1998,26/6/1998,0,2,1998,6,176,1
224,Wyoming,CEW BLT,25/6/1998,26/6/1998,2,2,1998,6,176,1
225,Bridgeville,CEW BLT,27/6/1998,29/6/1998,1,3,1998,6,178,2
226,Bridgeville,CEW Pheromone,27/6/1998,29/6/1998,6,3,1998,6,178,2
227,Georgetown,CEW BLT,27/6/1998,29/6/1998,0,3,1998,6,178,2
228,Greenwood,CEW BLT,27/6/1998,29/6/1998,0.67,3,1998,6,178,2
229,Greenwood,CEW Pheromone,27/6/1998,29/6/1998,0,3,1998,6,178,2
230,Laurel,CEW BLT,27/6/1998,29/6/1998,0,3,1998,6,178,2
231,Laurel,CEW Pheromone,27/6/1998,29/6/1998,0.66,3,1998,6,178,2
232,Milford,CEW BLT,27/6/1998,29/6/1998,1,3,1998,6,178,2
233,Milford,CEW Pheromone,27/6/1998,29/6/1998,2,3,1998,6,178,2
234,Seaford,CEW BLT,27/6/1998,29/6/1998,1,3,1998,6,178,2
235,Seaford,CEW Pheromone,27/6/1998,29/6/1998,0.33,3,1998,6,178,2
236,Wyoming,CEW BLT,27/6/1998,29/6/1998,0,3,1998,6,178,2
237,Bridgeville,CEW BLT,30/6/1998,1/7/1998,1,2,1998,6,181,1
238,Bridgeville,CEW Pheromone,30/6/1998,1/7/1998,4,2,1998,6,181,1
239,Georgetown,CEW BLT,30/6/1998,1/7/1998,0,2,1998,6,181,1
240,Greenwood,CEW BLT,30/6/1998,1/7/1998,0.5,2,1998,6,181,1
241,Greenwood,CEW Pheromone,30/6/1998,1/7/1998,0,2,1998,6,181,1
242,Laurel,CEW BLT,30/6/1998,1/7/1998,0,2,1998,6,181,1
243,Laurel,CEW Pheromone,30/6/1998,1/7/1998,1,2,1998,6,181,1
244,Milford,CEW BLT,30/6/1998,1/7/1998,0.66,2,1998,6,181,1
245,Milford,CEW Pheromone,30/6/1998,1/7/1998,1,2,1998,6,181,1
246,Seaford,CEW BLT,30/6/1998,1/7/1998,0.5,2,1998,6,181,1
247,Seaford,CEW Pheromone,30/6/1998,1/7/1998,1,2,1998,6,181,1
248,Bridgeville,CEW BLT,2/7/1998,3/7/1998,1,2,1998,7,183,1
249,Bridgeville,CEW Pheromone,2/7/1998,3/7/1998,2.5,2,1998,7,183,1
250,Georgetown,CEW BLT,2/7/1998,3/7/1998,0,2,1998,7,183,1
251,Greenwood,CEW BLT,2/7/1998,3/7/1998,1,2,1998,7,183,1
252,Greenwood,CEW Pheromone,2/7/1998,3/7/1998,0,2,1998,7,183,1
253,Laurel,CEW BLT,2/7/1998,3/7/1998,0,2,1998,7,183,1
254,Laurel,CEW Pheromone,2/7/1998,3/7/1998,0,2,1998,7,183,1
255,Milford,CEW BLT,2/7/1998,3/7/1998,0,2,1998,7,183,1
256,Milford,CEW Pheromone,2/7/1998,3/7/1998,0.5,2,1998,7,183,1
257,Seaford,CEW BLT,2/7/1998,3/7/1998,1,2,1998,7,183,1
258,Seaford,CEW Pheromone,2/7/1998,3/7/1998,0,2,1998,7,183,1
259,Bridgeville,CEW BLT,4/7/1998,5/7/1998,1,2,1998,7,185,1
260,Bridgeville,CEW Pheromone,4/7/1998,5/7/1998,2,2,1998,7,185,1
261,Georgetown,CEW BLT,4/7/1998,5/7/1998,0.33,2,1998,7,185,1
262,Greenwood,CEW BLT,4/7/1998,5/7/1998,0.33,2,1998,7,185,1
263,Greenwood,CEW Pheromone,4/7/1998,5/7/1998,0,2,1998,7,185,1
264,Laurel,CEW BLT,4/7/1998,5/7/1998,0,2,1998,7,185,1
265,Laurel,CEW Pheromone,4/7/1998,5/7/1998,0,2,1998,7,185,1
266,Milford,CEW BLT,4/7/1998,5/7/1998,0,2,1998,7,185,1
267,Milford,CEW Pheromone,4/7/1998,5/7/1998,0.5,2,1998,7,185,1
268,Seaford,CEW BLT,4/7/1998,5/7/1998,0.66,2,1998,7,185,1
269,Seaford,CEW Pheromone,4/7/1998,5/7/1998,0,2,1998,7,185,1
270,Bridgeville,CEW BLT,6/7/1998,8/7/1998,1,3,1998,7,187,2
271,Bridgeville,CEW Pheromone,6/7/1998,8/7/1998,1,3,1998,7,187,2
272,Georgetown,CEW BLT,6/7/1998,8/7/1998,0.5,3,1998,7,187,2
273,Greenwood,CEW BLT,6/7/1998,8/7/1998,0.5,3,1998,7,187,2
274,Greenwood,CEW Pheromone,6/7/1998,8/7/1998,0,3,1998,7,187,2
275,Laurel,CEW BLT,6/7/1998,8/7/1998,0,3,1998,7,187,2
276,Laurel,CEW Pheromone,6/7/1998,8/7/1998,3,3,1998,7,187,2
277,Milford,CEW BLT,6/7/1998,8/7/1998,1,3,1998,7,187,2
278,Milford,CEW Pheromone,6/7/1998,8/7/1998,0,3,1998,7,187,2
279,Seaford,CEW BLT,6/7/1998,8/7/1998,1,3,1998,7,187,2
280,Seaford,CEW Pheromone,6/7/1998,8/7/1998,2,3,1998,7,187,2
281,Bridgeville,CEW BLT,9/7/1998,10/7/1998,0,2,1998,7,190,1
282,Bridgeville,CEW Pheromone,9/7/1998,10/7/1998,0,2,1998,7,190,1
283,Georgetown,CEW BLT,9/7/1998,10/7/1998,0,2,1998,7,190,1
284,Greenwood,CEW BLT,9/7/1998,10/7/1998,0,2,1998,7,190,1
285,Greenwood,CEW Pheromone,9/7/1998,10/7/1998,0,2,1998,7,190,1
286,Laurel,CEW BLT,9/7/1998,10/7/1998,0,2,1998,7,190,1
287,Laurel,CEW Pheromone,9/7/1998,10/7/1998,0,2,1998,7,190,1
288,Milford,CEW BLT,9/7/1998,10/7/1998,1.5,2,1998,7,190,1
289,Milford,CEW Pheromone,9/7/1998,10/7/1998,0,2,1998,7,190,1
290,Seaford,CEW BLT,9/7/1998,10/7/1998,1,2,1998,7,190,1
291,Seaford,CEW Pheromone,9/7/1998,10/7/1998,0,2,1998,7,190,1
292,Wyoming,CEW BLT,9/7/1998,10/7/1998,1,2,1998,7,190,1
293,Bridgeville,CEW BLT,11/7/1998,13/7/1998,0,3,1998,7,192,2
294,Bridgeville,CEW Pheromone,11/7/1998,13/7/1998,2.3,3,1998,7,192,2
295,Georgetown,CEW BLT,11/7/1998,13/7/1998,0.66,3,1998,7,192,2
296,Greenwood,CEW BLT,11/7/1998,13/7/1998,0,3,1998,7,192,2
297,Greenwood,CEW Pheromone,11/7/1998,13/7/1998,0,3,1998,7,192,2
298,Laurel,CEW BLT,11/7/1998,13/7/1998,0,3,1998,7,192,2
299,Laurel,CEW Pheromone,11/7/1998,13/7/1998,2,3,1998,7,192,2
300,Milford,CEW BLT,11/7/1998,13/7/1998,1,3,1998,7,192,2
301,Milford,CEW Pheromone,11/7/1998,13/7/1998,0,3,1998,7,192,2
302,Seaford,CEW BLT,11/7/1998,13/7/1998,0.66,3,1998,7,192,2
303,Seaford,CEW Pheromone,11/7/1998,13/7/1998,1.33,3,1998,7,192,2
304,Wyoming,CEW BLT,11/7/1998,13/7/1998,0.66,3,1998,7,192,2
305,Bridgeville,CEW BLT,14/7/1998,15/7/1998,1,2,1998,7,195,1
306,Bridgeville,CEW Pheromone,14/7/1998,15/7/1998,3,2,1998,7,195,1
307,Georgetown,CEW BLT,14/7/1998,15/7/1998,0,2,1998,7,195,1
308,Greenwood,CEW BLT,14/7/1998,15/7/1998,0.5,2,1998,7,195,1
309,Greenwood,CEW Pheromone,14/7/1998,15/7/1998,0,2,1998,7,195,1
310,Laurel,CEW BLT,14/7/1998,15/7/1998,0,2,1998,7,195,1
311,Laurel,CEW Pheromone,14/7/1998,15/7/1998,9,2,1998,7,195,1
312,Milford,CEW BLT,14/7/1998,15/7/1998,0.5,2,1998,7,195,1
313,Milford,CEW Pheromone,14/7/1998,15/7/1998,0,2,1998,7,195,1
314,Seaford,CEW BLT,14/7/1998,15/7/1998,1,2,1998,7,195,1
315,Seaford,CEW Pheromone,14/7/1998,15/7/1998,3,2,1998,7,195,1
316,Wyoming,CEW BLT,14/7/1998,15/7/1998,1.5,2,1998,7,195,1
317,Bridgeville,CEW BLT,16/7/1998,17/7/1998,1,2,1998,7,197,1
318,Bridgeville,CEW Pheromone,16/7/1998,17/7/1998,7,2,1998,7,197,1
319,Georgetown,CEW BLT,16/7/1998,17/7/1998,0.5,2,1998,7,197,1
320,Greenwood,CEW BLT,16/7/1998,17/7/1998,1,2,1998,7,197,1
321,Greenwood,CEW Pheromone,16/7/1998,17/7/1998,0,2,1998,7,197,1
322,Laurel,CEW BLT,16/7/1998,17/7/1998,0,2,1998,7,197,1
323,Laurel,CEW Pheromone,16/7/1998,17/7/1998,18,2,1998,7,197,1
324,Milford,CEW BLT,16/7/1998,17/7/1998,0.5,2,1998,7,197,1
