BioSample,LibraryName,refGenome,Run,BioProject,fq1,fq2,lat,long
CL03,CL03,GCA_022581195.1,CL03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C02v1_CL03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C02v1_CL03_L002_R2_001.fastq.gz,38.639386,-75.525808
CL04,CL04,GCA_022581195.1,CL04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D02v1_CL04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D02v1_CL04_L002_R2_001.fastq.gz,38.639386,-75.525808
CH01,CH01,GCA_022581195.1,CH01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E02v1_CH01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E02v1_CH01_L002_R2_001.fastq.gz,38.639386,-75.525808
CH02,CH02,GCA_022581195.1,CH02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F02v1_CH02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F02v1_CH02_L002_R2_001.fastq.gz,38.639386,-75.525808
CH03,CH03,GCA_022581195.1,CH03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G02v1_CH03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G02v1_CH03_L002_R2_001.fastq.gz,38.639386,-75.525808
CH04,CH04,GCA_022581195.1,CH04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H02v1_CH04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H02v1_CH04_L002_R2_001.fastq.gz,38.639386,-75.525808
GL01,GL01,GCA_022581195.1,GL01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A03v1_GL01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A03v1_GL01_L002_R2_001.fastq.gz,38.639656,-75.458267
GL02,GL02,GCA_022581195.1,GL02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B03v1_GL02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B03v1_GL02_L002_R2_001.fastq.gz,38.639656,-75.458267
GL03,GL03,GCA_022581195.1,GL03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C03v1_GL03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C03v1_GL03_L002_R2_001.fastq.gz,38.639656,-75.458267
GL04,GL04,GCA_022581195.1,GL04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D03v1_GL04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D03v1_GL04_L002_R2_001.fastq.gz,38.639656,-75.458267
XX01,XX01,GCA_022581195.1,XX01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E03v1_XX01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E03v1_XX01_L002_R2_001.fastq.gz,38.639656,-75.458267
XX02,XX02,GCA_022581195.1,XX02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F03v1_XX02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F03v1_XX02_L002_R2_001.fastq.gz,38.639656,-75.458267
XX03,XX03,GCA_022581195.1,XX03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G03v1_XX03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G03v1_XX03_L002_R2_001.fastq.gz,38.639656,-75.458267
XX04,XX04,GCA_022581195.1,XX04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H03v1_XX04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H03v1_XX04_L002_R2_001.fastq.gz,38.639656,-75.458267
HL01,HL01,GCA_022581195.1,HL01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A04v1_HL01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A04v1_HL01_L002_R2_001.fastq.gz,38.928447,-75.530858
HL02,HL02,GCA_022581195.1,HL02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B04v1_HL02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B04v1_HL02_L002_R2_001.fastq.gz,38.928447,-75.530858
HL03,HL03,GCA_022581195.1,HL03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C04v1_HL03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C04v1_HL03_L002_R2_001.fastq.gz,38.928447,-75.530858
HL04,HL04,GCA_022581195.1,HL04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D04v1_HL04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D04v1_HL04_L002_R2_001.fastq.gz,38.928447,-75.530858
HH01,HH01,GCA_022581195.1,HH01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E04v1_HH01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E04v1_HH01_L002_R2_001.fastq.gz,38.928447,-75.530858
HH02,HH02,GCA_022581195.1,HH02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F04v1_HH02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F04v1_HH02_L002_R2_001.fastq.gz,38.928447,-75.530858
HH03,HH03,GCA_022581195.1,HH03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G04v1_HH03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G04v1_HH03_L002_R2_001.fastq.gz,38.928447,-75.530858
HH04,HH04,GCA_022581195.1,HH04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H04v1_HH04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H04v1_HH04_L002_R2_001.fastq.gz,38.928447,-75.530858
SH01,SH01,GCA_022581195.1,SH01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A05v1_SH01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A05v1_SH01_L002_R2_001.fastq.gz,38.979039,-75.452267
SH02,SH02,GCA_022581195.1,SH02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B05v1_SH02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B05v1_SH02_L002_R2_001.fastq.gz,38.979039,-75.452267
SH03,SH03,GCA_022581195.1,SH03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C05v1_SH03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C05v1_SH03_L002_R2_001.fastq.gz,38.979039,-75.452267
SH04,SH04,GCA_022581195.1,SH04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D05v1_SH04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D05v1_SH04_L002_R2_001.fastq.gz,38.979039,-75.452267
ML01,ML01,GCA_022581195.1,ML01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E05v1_ML01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E05v1_ML01_L002_R2_001.fastq.gz,38.979039,-75.452267
ML02,ML02,GCA_022581195.1,ML02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F05v1_ML02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F05v1_ML02_L002_R2_001.fastq.gz,38.979039,-75.452267
ML03,ML03,GCA_022581195.1,ML03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G05v1_ML03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G05v1_ML03_L002_R2_001.fastq.gz,38.979039,-75.452267
ML04,ML04,GCA_022581195.1,ML04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H05v1_ML04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H05v1_ML04_L002_R2_001.fastq.gz,38.979039,-75.452267
RL01,RL01,GCA_022581195.1,RL01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A06v1_RL01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A06v1_RL01_L002_R2_001.fastq.gz,39.074425,-75.504467
RL02,RL02,GCA_022581195.1,RL02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B06v1_RL02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B06v1_RL02_L002_R2_001.fastq.gz,39.074425,-75.504467
RL03,RL03,GCA_022581195.1,RL03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C06v1_RL03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C06v1_RL03_L002_R2_001.fastq.gz,39.074425,-75.504467
RL04,RL04,GCA_022581195.1,RL04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D06v1_RL04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D06v1_RL04_L002_R2_001.fastq.gz,39.074425,-75.504467
RH01,RH01,GCA_022581195.1,RH01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E06v1_RH01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E06v1_RH01_L002_R2_001.fastq.gz,39.074425,-75.504467
RH02,RH02,GCA_022581195.1,RH02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F06v1_RH02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F06v1_RH02_L002_R2_001.fastq.gz,39.074425,-75.504467
RH03,RH03,GCA_022581195.1,RH03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G06v1_RH03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G06v1_RH03_L002_R2_001.fastq.gz,39.074425,-75.504467
RH04,RH04,GCA_022581195.1,RH04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H06v1_RH04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H06v1_RH04_L002_R2_001.fastq.gz,39.074425,-75.504467
